self_employed,family_history,treatment,days_indoors,growing_stress,changes_habits,mental_health_history,mood_swings,coping_struggles,work_interest,social_weakness,mental_health_interview,care_options,mental_health_severity,candidacy_rating,feature_3,count,percentage
No,-1,-1,1-14 days,0,-1,-1,-1,1,0,1,No,No,-1,-4,1,94,0.032734136132218046
No,-1,-1,Go out Every day,0,-1,1,1,-1,1,1,No,No,2,-2,2,94,0.032734136132218046
No,-1,-1,Go out Every day,0,0,-1,1,1,0,-1,No,No,0,-3,1,94,0.032734136132218046
No,-1,-1,Go out Every day,0,0,0,-1,1,0,-1,No,No,-1,-2,-1,94,0.032734136132218046
No,-1,-1,Go out Every day,0,1,-1,1,-1,0,-1,No,No,-1,-2,-1,94,0.032734136132218046
No,-1,-1,15-30 days,-1,1,1,-1,1,0,1,No,No,2,-1,1,94,0.032734136132218046
No,-1,-1,Go out Every day,0,0,1,1,1,-1,-1,No,No,1,-1,0,94,0.032734136132218046
No,-1,-1,31-60 days,-1,-1,1,1,-1,1,-1,No,No,-1,-3,0,94,0.032734136132218046
No,-1,-1,Go out Every day,0,1,-1,-1,-1,-1,0,No,No,-3,-2,-3,94,0.032734136132218046
No,-1,-1,1-14 days,0,0,1,1,-1,-1,-1,No,No,-1,-1,-2,94,0.032734136132218046
No,-1,-1,Go out Every day,0,1,-1,-1,-1,1,1,No,No,0,-2,0,94,0.032734136132218046
No,-1,-1,1-14 days,0,1,-1,-1,-1,-1,-1,No,No,-4,-2,-4,94,0.032734136132218046
No,-1,-1,31-60 days,1,1,-1,-1,-1,-1,-1,No,No,-3,-1,-4,94,0.032734136132218046
No,-1,-1,31-60 days,-1,-1,1,1,1,1,-1,No,No,1,-3,2,94,0.032734136132218046
No,-1,-1,1-14 days,1,-1,0,-1,-1,1,-1,No,No,-2,-2,-2,94,0.032734136132218046
No,-1,-1,1-14 days,0,1,-1,-1,-1,0,-1,No,No,-3,-2,-3,94,0.032734136132218046
No,-1,-1,31-60 days,1,0,1,1,1,0,1,No,No,5,0,3,94,0.032734136132218046
No,-1,-1,1-14 days,0,1,-1,-1,-1,0,0,No,No,-2,-2,-2,94,0.032734136132218046
No,-1,-1,31-60 days,-1,0,-1,0,1,0,1,No,No,0,-4,2,94,0.032734136132218046
No,-1,-1,15-30 days,-1,1,0,-1,-1,0,1,No,No,-1,-2,-1,94,0.032734136132218046
No,-1,-1,31-60 days,-1,0,0,-1,1,0,0,No,No,-1,-3,0,94,0.032734136132218046
No,-1,-1,1-14 days,0,0,1,0,1,-1,0,No,No,1,-1,0,94,0.032734136132218046
No,-1,-1,15-30 days,-1,1,0,0,1,-1,0,No,No,0,-2,0,94,0.032734136132218046
No,-1,-1,Go out Every day,0,0,1,1,-1,1,0,No,No,2,-1,1,94,0.032734136132218046
No,-1,-1,Go out Every day,0,0,1,1,-1,0,0,No,No,1,-1,0,94,0.032734136132218046
No,-1,-1,1-14 days,0,0,-1,1,-1,1,0,No,No,0,-3,1,94,0.032734136132218046
No,-1,-1,31-60 days,-1,-1,-1,0,1,1,1,No,No,0,-5,3,94,0.032734136132218046
