self_employed,family_history,treatment,days_indoors,growing_stress,changes_habits,mental_health_history,mood_swings,coping_struggles,work_interest,social_weakness,mental_health_interview,care_options,mental_health_severity,candidacy_rating,feature_3,count,percentage
No,1,1,1-14 days,1,-1,0,1,-1,0,-1,No,Not sure,-1,2,-1,13,0.004527061379987603
No,1,1,1-14 days,1,-1,0,1,-1,0,-1,No,No,-1,2,-1,13,0.004527061379987603
No,1,1,1-14 days,1,-1,-1,1,1,0,1,No,Not sure,2,1,3,13,0.004527061379987603
No,1,1,1-14 days,1,-1,-1,1,1,0,1,No,No,2,1,3,13,0.004527061379987603
No,1,1,1-14 days,0,-1,1,0,-1,1,0,No,No,0,2,0,13,0.004527061379987603
No,1,1,1-14 days,0,-1,-1,-1,1,0,-1,No,Not sure,-3,0,-1,13,0.004527061379987603
No,1,1,1-14 days,0,-1,-1,-1,1,0,-1,No,No,-3,0,-1,13,0.004527061379987603
No,1,1,1-14 days,-1,-1,1,0,-1,0,-1,No,No,-3,1,-2,13,0.004527061379987603
No,1,1,1-14 days,-1,-1,0,1,-1,-1,1,No,No,-2,0,0,13,0.004527061379987603
No,1,1,1-14 days,-1,-1,0,0,-1,1,0,No,Not sure,-2,0,0,13,0.004527061379987603
No,1,1,1-14 days,-1,-1,0,0,-1,1,0,No,No,-2,0,0,13,0.004527061379987603
No,1,1,1-14 days,-1,-1,-1,0,-1,1,1,No,Not sure,-2,-1,1,13,0.004527061379987603
No,1,1,1-14 days,-1,-1,-1,0,-1,1,1,No,No,-2,-1,1,13,0.004527061379987603
No,1,-1,More than 2 months,1,-1,0,0,-1,0,1,No,Yes,0,0,0,13,0.004527061379987603
No,1,-1,More than 2 months,0,1,0,0,-1,-1,-1,No,Yes,-2,1,-3,13,0.004527061379987603
No,1,-1,More than 2 months,0,1,-1,1,-1,-1,-1,No,Yes,-2,0,-2,13,0.004527061379987603
No,1,-1,More than 2 months,0,1,-1,0,-1,1,1,No,Yes,1,0,1,13,0.004527061379987603
No,1,-1,More than 2 months,-1,1,-1,1,1,1,1,No,Yes,3,-1,4,13,0.004527061379987603
No,1,-1,Go out Every day,1,-1,-1,1,-1,1,-1,No,Yes,-1,-1,0,13,0.004527061379987603
No,1,-1,Go out Every day,0,1,1,1,1,0,-1,No,Yes,3,2,1,13,0.004527061379987603
No,1,1,More than 2 months,1,1,0,-1,-1,-1,0,No,No,-1,4,-3,13,0.004527061379987603
No,1,-1,Go out Every day,-1,1,1,0,-1,1,0,No,Yes,1,1,0,13,0.004527061379987603
No,1,-1,31-60 days,1,0,1,-1,-1,-1,1,No,Yes,0,2,-2,13,0.004527061379987603
No,1,-1,31-60 days,1,0,0,1,-1,-1,0,No,Yes,0,1,-1,13,0.004527061379987603
No,1,-1,31-60 days,1,0,0,0,-1,-1,-1,No,Yes,-2,1,-3,13,0.004527061379987603
No,1,-1,31-60 days,0,1,0,-1,1,-1,-1,No,Yes,-1,1,-2,13,0.004527061379987603
No,1,-1,31-60 days,-1,0,-1,-1,1,1,0,No,Yes,-1,-2,1,13,0.004527061379987603
No,1,-1,15-30 days,1,1,-1,-1,1,1,0,No,Yes,2,1,1,13,0.004527061379987603
No,1,-1,15-30 days,1,-1,-1,-1,-1,-1,1,No,Yes,-3,-1,-2,13,0.004527061379987603
No,1,-1,15-30 days,0,0,0,1,-1,1,1,No,Yes,2,0,2,13,0.004527061379987603
No,1,-1,1-14 days,1,1,-1,-1,1,1,1,No,Yes,3,1,2,13,0.004527061379987603
No,1,-1,1-14 days,0,1,1,-1,-1,1,0,No,Yes,1,2,-1,13,0.004527061379987603
No,1,-1,1-14 days,0,1,0,1,1,1,-1,No,Yes,3,1,2,13,0.004527061379987603
No,1,-1,1-14 days,0,0,0,-1,-1,-1,-1,No,Yes,-4,0,-4,13,0.004527061379987603
No,1,-1,1-14 days,-1,0,1,0,1,1,1,No,Yes,3,0,3,13,0.004527061379987603
No,1,1,1-14 days,-1,-1,0,1,-1,-1,1,No,Not sure,-2,0,0,13,0.004527061379987603
No,1,1,1-14 days,-1,-1,1,0,-1,0,-1,No,Not sure,-3,1,-2,13,0.004527061379987603
No,1,1,1-14 days,-1,1,1,1,1,1,1,No,Not sure,5,3,4,13,0.004527061379987603
No,1,1,1-14 days,-1,-1,1,1,1,-1,1,No,No,1,1,2,13,0.004527061379987603
No,1,1,1-14 days,-1,1,1,1,1,1,1,No,No,5,3,4,13,0.004527061379987603
No,1,1,1-14 days,-1,1,1,0,-1,-1,1,No,Not sure,0,3,-1,13,0.004527061379987603
No,1,1,1-14 days,-1,1,1,0,-1,-1,1,No,No,0,3,-1,13,0.004527061379987603
No,1,1,1-14 days,-1,1,0,1,1,-1,-1,No,Not sure,0,2,0,13,0.004527061379987603
No,1,1,1-14 days,-1,1,0,1,1,-1,-1,No,No,0,2,0,13,0.004527061379987603
No,1,1,1-14 days,-1,1,0,0,-1,1,0,No,Not sure,0,2,0,13,0.004527061379987603
No,1,1,1-14 days,-1,1,0,0,-1,1,0,No,No,0,2,0,13,0.004527061379987603
No,1,1,1-14 days,-1,1,0,0,-1,0,0,No,Not sure,-1,2,-1,13,0.004527061379987603
No,1,1,1-14 days,-1,1,0,0,-1,0,0,No,No,-1,2,-1,13,0.004527061379987603
No,1,1,1-14 days,-1,1,0,-1,1,0,0,No,Not sure,0,2,0,13,0.004527061379987603
No,1,1,1-14 days,-1,1,0,-1,1,0,0,No,No,0,2,0,13,0.004527061379987603
No,1,1,1-14 days,-1,1,-1,-1,1,0,0,No,Not sure,-1,1,0,13,0.004527061379987603
No,1,1,1-14 days,-1,1,-1,-1,1,0,0,No,No,-1,1,0,13,0.004527061379987603
No,1,1,1-14 days,-1,0,1,1,-1,-1,1,No,Not sure,0,2,0,13,0.004527061379987603
No,1,1,1-14 days,-1,0,1,1,-1,-1,1,No,No,0,2,0,13,0.004527061379987603
No,1,1,1-14 days,-1,0,1,0,1,1,1,Maybe,Yes,3,2,3,13,0.004527061379987603
No,1,1,1-14 days,-1,0,1,-1,-1,-1,1,No,Not sure,-2,2,-2,13,0.004527061379987603
No,1,1,1-14 days,-1,0,1,-1,-1,-1,1,No,No,-2,2,-2,13,0.004527061379987603
No,1,1,1-14 days,-1,0,0,1,-1,1,-1,No,Not sure,-1,1,0,13,0.004527061379987603
No,1,1,1-14 days,-1,0,0,1,-1,1,-1,No,No,-1,1,0,13,0.004527061379987603
No,1,1,1-14 days,-1,0,0,0,1,0,-1,No,Not sure,-1,1,0,13,0.004527061379987603
No,1,1,1-14 days,-1,0,0,0,1,0,-1,No,No,-1,1,0,13,0.004527061379987603
No,1,1,1-14 days,-1,0,0,-1,1,-1,0,No,Not sure,-2,1,-1,13,0.004527061379987603
No,1,1,1-14 days,-1,0,0,-1,1,-1,0,No,No,-2,1,-1,13,0.004527061379987603
No,1,1,1-14 days,-1,0,-1,-1,-1,1,1,No,Not sure,-2,0,0,13,0.004527061379987603
No,1,1,1-14 days,-1,0,-1,-1,-1,1,1,No,No,-2,0,0,13,0.004527061379987603
No,1,1,1-14 days,-1,-1,1,1,1,-1,1,No,Not sure,1,1,2,13,0.004527061379987603
No,1,1,1-14 days,1,0,-1,0,1,-1,-1,No,Not sure,-1,2,-1,13,0.004527061379987603
No,1,1,31-60 days,-1,0,-1,1,1,1,0,No,No,1,0,3,13,0.004527061379987603
No,1,1,1-14 days,1,0,-1,1,-1,1,1,No,Not sure,2,2,2,13,0.004527061379987603
No,1,1,1-14 days,1,0,1,-1,1,0,1,No,Not sure,3,4,1,13,0.004527061379987603
No,1,1,1-14 days,1,0,1,-1,-1,0,1,No,Not sure,1,4,-1,13,0.004527061379987603
No,1,1,More than 2 months,1,1,0,-1,-1,0,0,No,Not sure,0,4,-2,13,0.004527061379987603
No,1,1,1-14 days,1,0,1,-1,-1,0,1,No,No,1,4,-1,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,1,1,1,1,No,Not sure,5,3,4,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,1,1,1,1,No,No,5,3,4,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,1,1,0,-1,No,Not sure,2,3,1,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,1,1,0,-1,No,No,2,3,1,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,1,-1,1,1,No,Not sure,3,3,2,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,1,-1,1,1,No,No,3,3,2,13,0.004527061379987603
No,1,1,More than 2 months,1,1,0,-1,-1,0,0,No,No,0,4,-2,13,0.004527061379987603
No,1,1,More than 2 months,1,1,0,-1,-1,-1,0,No,Not sure,-1,4,-3,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,1,-1,1,0,No,Not sure,2,3,1,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,1,-1,1,0,No,No,2,3,1,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,1,-1,-1,0,No,Not sure,0,3,-1,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,1,-1,-1,0,No,No,0,3,-1,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,0,1,0,1,No,Not sure,3,3,2,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,0,1,0,1,No,No,3,3,2,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,0,1,-1,1,No,Not sure,2,3,1,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,0,1,-1,1,No,No,2,3,1,13,0.004527061379987603
No,1,1,1-14 days,1,0,1,-1,1,0,1,No,No,3,4,1,13,0.004527061379987603
No,1,1,1-14 days,1,0,1,-1,1,1,0,No,No,3,4,1,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,0,1,-1,-1,No,No,0,3,-1,13,0.004527061379987603
No,1,1,1-14 days,1,0,1,-1,1,1,0,No,Not sure,3,4,1,13,0.004527061379987603
No,1,1,More than 2 months,1,1,0,0,1,-1,-1,No,Not sure,1,4,-1,13,0.004527061379987603
No,1,1,More than 2 months,1,1,0,0,1,-1,-1,No,No,1,4,-1,13,0.004527061379987603
No,1,1,More than 2 months,1,1,0,0,1,-1,0,No,No,2,4,0,13,0.004527061379987603
No,1,1,1-14 days,1,1,-1,1,-1,-1,0,No,No,0,3,-1,13,0.004527061379987603
No,1,1,More than 2 months,1,1,0,0,1,-1,0,No,Not sure,2,4,0,13,0.004527061379987603
No,1,1,1-14 days,1,1,-1,0,1,-1,1,No,Not sure,2,3,1,13,0.004527061379987603
No,1,1,More than 2 months,1,1,1,-1,-1,-1,1,No,No,1,5,-2,13,0.004527061379987603
No,1,1,More than 2 months,1,1,1,-1,-1,-1,1,No,Not sure,1,5,-2,13,0.004527061379987603
No,1,1,1-14 days,1,1,-1,0,1,-1,1,No,No,2,3,1,13,0.004527061379987603
No,1,1,1-14 days,1,1,-1,1,-1,-1,0,No,Not sure,0,3,-1,13,0.004527061379987603
No,1,1,1-14 days,1,1,-1,-1,-1,-1,0,No,Not sure,-2,3,-3,13,0.004527061379987603
No,1,1,1-14 days,1,1,-1,1,1,-1,1,No,No,3,3,2,13,0.004527061379987603
No,1,1,1-14 days,1,1,-1,-1,-1,-1,0,No,No,-2,3,-3,13,0.004527061379987603
No,1,1,1-14 days,1,0,1,1,1,-1,0,No,Not sure,3,4,1,13,0.004527061379987603
No,1,1,1-14 days,1,0,1,1,1,-1,0,No,No,3,4,1,13,0.004527061379987603
No,1,1,1-14 days,1,0,1,1,-1,1,1,No,Not sure,4,4,2,13,0.004527061379987603
No,1,1,1-14 days,1,0,1,1,-1,1,1,No,No,4,4,2,13,0.004527061379987603
No,1,1,1-14 days,1,0,1,0,1,-1,-1,No,Not sure,1,4,-1,13,0.004527061379987603
No,1,1,1-14 days,1,0,1,0,1,-1,-1,No,No,1,4,-1,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,0,1,-1,-1,No,Not sure,0,3,-1,13,0.004527061379987603
No,1,1,1-14 days,1,1,-1,-1,1,1,1,Maybe,Yes,3,3,2,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,-1,-1,-1,-1,No,No,-3,3,-4,13,0.004527061379987603
No,1,1,1-14 days,1,0,0,-1,-1,-1,-1,No,Not sure,-3,3,-4,13,0.004527061379987603
No,1,1,15-30 days,1,1,1,-1,1,-1,-1,Maybe,Not sure,1,5,-2,12,0.0041788258892193255
No,-1,-1,31-60 days,1,0,1,1,1,-1,-1,No,No,2,0,0,12,0.0041788258892193255
No,-1,-1,31-60 days,1,-1,0,-1,-1,-1,-1,No,No,-4,-2,-4,12,0.0041788258892193255
No,-1,-1,More than 2 months,1,0,0,1,-1,0,-1,No,No,0,-1,-1,12,0.0041788258892193255
No,-1,-1,Go out Every day,1,0,0,-1,1,1,-1,No,No,1,-1,0,12,0.0041788258892193255
Yes,-1,-1,15-30 days,1,1,1,-1,1,-1,-1,No,Yes,1,1,-2,12,0.0041788258892193255
Yes,1,1,1-14 days,-1,1,-1,-1,1,1,1,No,Yes,1,1,2,12,0.0041788258892193255
Yes,-1,1,31-60 days,0,0,-1,-1,1,-1,1,No,Yes,-1,-1,0,12,0.0041788258892193255
No,-1,1,15-30 days,1,1,1,-1,1,-1,-1,Yes,Yes,1,3,-2,12,0.0041788258892193255
Yes,-1,-1,15-30 days,1,1,1,-1,1,-1,-1,Maybe,No,1,1,-2,12,0.0041788258892193255
No,1,-1,15-30 days,1,1,1,-1,1,-1,-1,Maybe,No,1,3,-2,12,0.0041788258892193255
Yes,1,1,31-60 days,0,0,-1,-1,1,-1,1,No,Yes,-1,1,0,12,0.0041788258892193255
No,-1,-1,31-60 days,-1,-1,0,1,-1,1,0,No,No,-1,-4,1,12,0.0041788258892193255
No,-1,1,15-30 days,1,1,1,-1,1,-1,-1,Maybe,No,1,3,-2,12,0.0041788258892193255
No,-1,-1,More than 2 months,0,1,-1,0,-1,0,0,No,No,-1,-2,-1,12,0.0041788258892193255
No,-1,-1,Go out Every day,1,-1,-1,0,1,0,0,No,No,0,-3,1,12,0.0041788258892193255
Yes,-1,1,1-14 days,1,0,-1,-1,-1,0,-1,No,Yes,-3,0,-3,12,0.0041788258892193255
Yes,1,1,More than 2 months,1,1,0,1,-1,1,1,No,Yes,4,4,2,12,0.0041788258892193255
Yes,1,1,More than 2 months,1,0,1,0,1,1,0,No,Yes,4,4,2,12,0.0041788258892193255
Yes,-1,1,More than 2 months,1,0,1,0,1,1,0,No,Yes,4,2,2,12,0.0041788258892193255
Yes,-1,1,1-14 days,-1,1,-1,-1,1,1,1,No,Yes,1,-1,2,12,0.0041788258892193255
Yes,-1,1,More than 2 months,1,1,0,1,-1,1,1,No,Yes,4,2,2,12,0.0041788258892193255
No,-1,-1,31-60 days,-1,0,0,1,1,0,-1,No,No,0,-3,1,12,0.0041788258892193255
Yes,1,1,1-14 days,1,0,-1,-1,-1,0,-1,No,Yes,-3,2,-3,12,0.0041788258892193255
No,-1,-1,More than 2 months,0,0,-1,0,1,1,-1,No,No,0,-3,1,12,0.0041788258892193255
No,-1,-1,31-60 days,1,0,1,-1,-1,1,0,No,Not sure,1,0,-1,11,0.0038305903984510482
No,1,-1,31-60 days,1,0,-1,0,-1,-1,1,No,Not sure,-1,0,-1,11,0.0038305903984510482
No,1,-1,31-60 days,1,0,-1,0,1,0,0,No,Not sure,1,0,1,11,0.0038305903984510482
No,-1,1,15-30 days,-1,0,1,0,1,0,1,No,Yes,2,0,2,11,0.0038305903984510482
No,-1,-1,1-14 days,1,-1,1,-1,1,1,1,No,Not sure,3,-1,2,11,0.0038305903984510482
No,-1,-1,15-30 days,-1,0,-1,0,1,1,-1,No,Not sure,-1,-4,1,11,0.0038305903984510482
No,1,-1,31-60 days,1,0,-1,-1,1,0,0,No,Not sure,0,0,0,11,0.0038305903984510482
No,-1,1,More than 2 months,0,-1,1,-1,-1,-1,-1,No,Yes,-4,0,-4,11,0.0038305903984510482
No,1,-1,31-60 days,1,0,-1,1,-1,1,0,No,Not sure,1,0,1,11,0.0038305903984510482
No,1,-1,31-60 days,1,-1,1,1,1,0,-1,No,Not sure,2,1,1,11,0.0038305903984510482
No,-1,1,15-30 days,-1,0,1,1,-1,1,-1,No,Yes,0,0,0,11,0.0038305903984510482
No,-1,-1,1-14 days,0,1,1,0,1,0,-1,No,Not sure,2,0,0,11,0.0038305903984510482
No,1,-1,31-60 days,1,-1,1,0,-1,-1,0,No,Not sure,-1,1,-2,11,0.0038305903984510482
No,-1,1,31-60 days,0,0,-1,1,-1,0,-1,No,Yes,-2,-1,-1,11,0.0038305903984510482
No,-1,-1,31-60 days,-1,0,-1,0,-1,0,0,No,Not sure,-3,-4,-1,11,0.0038305903984510482
No,1,-1,31-60 days,0,1,-1,1,-1,1,0,No,Not sure,1,0,1,11,0.0038305903984510482
No,-1,1,More than 2 months,0,0,-1,0,1,-1,-1,No,Yes,-2,-1,-1,11,0.0038305903984510482
No,-1,-1,Go out Every day,1,-1,-1,-1,-1,1,1,No,Not sure,-1,-3,0,11,0.0038305903984510482
No,1,-1,31-60 days,0,1,0,1,1,-1,0,No,Not sure,2,1,1,11,0.0038305903984510482
No,-1,1,15-30 days,-1,1,-1,1,-1,-1,0,No,Yes,-2,-1,-1,11,0.0038305903984510482
No,-1,1,More than 2 months,0,0,-1,0,-1,0,0,No,Yes,-2,-1,-1,11,0.0038305903984510482
No,-1,1,31-60 days,-1,0,-1,1,1,1,0,No,Yes,1,-2,3,11,0.0038305903984510482
No,1,-1,31-60 days,0,1,1,-1,1,-1,1,No,Not sure,2,2,0,11,0.0038305903984510482
No,-1,-1,15-30 days,-1,0,-1,0,1,1,1,No,Not sure,1,-4,3,11,0.0038305903984510482
No,-1,1,15-30 days,-1,1,-1,-1,-1,0,0,No,Yes,-3,-1,-2,11,0.0038305903984510482
No,1,-1,31-60 days,0,1,1,0,-1,-1,-1,No,Not sure,-1,2,-3,11,0.0038305903984510482
No,-1,1,More than 2 months,0,0,-1,-1,1,0,1,No,Yes,0,-1,1,11,0.0038305903984510482
No,-1,-1,Go out Every day,1,-1,-1,1,-1,0,-1,No,Not sure,-2,-3,-1,11,0.0038305903984510482
No,-1,1,15-30 days,-1,1,-1,0,1,0,0,No,Yes,0,-1,1,11,0.0038305903984510482
No,1,-1,31-60 days,1,-1,-1,1,1,-1,1,No,Not sure,1,-1,2,11,0.0038305903984510482
No,-1,1,15-30 days,-1,0,1,0,1,0,-1,No,Yes,0,0,0,11,0.0038305903984510482
No,-1,1,15-30 days,-1,1,-1,0,-1,1,1,No,Yes,0,-1,1,11,0.0038305903984510482
No,1,-1,31-60 days,1,-1,-1,1,1,1,0,No,Not sure,2,-1,3,11,0.0038305903984510482
No,-1,1,31-60 days,0,0,-1,1,1,-1,0,No,Yes,0,-1,1,11,0.0038305903984510482
No,-1,-1,31-60 days,1,0,1,0,-1,1,-1,No,Not sure,1,0,-1,11,0.0038305903984510482
No,-1,1,15-30 days,-1,0,0,1,-1,-1,1,No,Yes,-1,-1,0,11,0.0038305903984510482
No,-1,1,More than 2 months,0,-1,0,-1,1,-1,1,No,Yes,-1,-1,0,11,0.0038305903984510482
No,-1,1,15-30 days,-1,0,-1,0,1,1,1,No,Yes,1,-2,3,11,0.0038305903984510482
No,-1,-1,More than 2 months,1,1,0,-1,-1,-1,0,No,Not sure,-1,0,-3,11,0.0038305903984510482
No,-1,1,More than 2 months,0,-1,-1,0,-1,1,0,No,Yes,-2,-2,0,11,0.0038305903984510482
No,1,-1,31-60 days,1,0,1,-1,1,-1,1,No,Not sure,2,2,0,11,0.0038305903984510482
No,-1,-1,31-60 days,-1,0,-1,1,1,1,0,No,Not sure,1,-4,3,11,0.0038305903984510482
No,-1,-1,1-14 days,0,0,-1,-1,1,1,-1,No,Not sure,-1,-3,0,11,0.0038305903984510482
No,-1,-1,Go out Every day,1,-1,0,1,1,-1,1,No,Not sure,2,-2,2,11,0.0038305903984510482
No,1,-1,31-60 days,1,0,1,0,1,0,-1,No,Not sure,2,2,0,11,0.0038305903984510482
No,-1,-1,15-30 days,0,0,-1,0,-1,1,-1,No,Not sure,-2,-3,-1,11,0.0038305903984510482
No,1,-1,31-60 days,1,0,1,1,1,0,1,No,Not sure,5,2,3,11,0.0038305903984510482
No,-1,-1,15-30 days,-1,0,-1,-1,-1,-1,1,No,Not sure,-4,-4,-2,11,0.0038305903984510482
No,1,-1,31-60 days,1,1,-1,-1,-1,-1,-1,No,Not sure,-3,1,-4,11,0.0038305903984510482
No,-1,1,15-30 days,-1,0,-1,0,1,1,-1,No,Yes,-1,-2,1,11,0.0038305903984510482
No,-1,-1,15-30 days,1,0,-1,1,1,-1,1,No,Not sure,2,-2,2,11,0.0038305903984510482
No,-1,-1,31-60 days,1,0,0,1,-1,-1,-1,No,Not sure,-1,-1,-2,11,0.0038305903984510482
No,1,-1,31-60 days,1,1,-1,1,-1,-1,0,No,Not sure,0,1,-1,11,0.0038305903984510482
No,-1,1,More than 2 months,0,-1,-1,-1,1,-1,1,No,Yes,-2,-2,0,11,0.0038305903984510482
No,1,-1,31-60 days,1,1,0,0,-1,1,1,No,Not sure,3,2,1,11,0.0038305903984510482
No,-1,1,More than 2 months,-1,1,1,1,1,1,1,No,Yes,5,1,4,11,0.0038305903984510482
No,-1,-1,Go out Every day,1,-1,0,1,-1,1,-1,No,Not sure,0,-2,0,11,0.0038305903984510482
No,-1,1,31-60 days,-1,0,-1,0,-1,0,0,No,Yes,-3,-2,-1,11,0.0038305903984510482
No,-1,-1,1-14 days,0,0,-1,1,-1,0,1,No,Not sure,0,-3,1,11,0.0038305903984510482
No,-1,-1,15-30 days,0,0,-1,-1,-1,0,0,No,Not sure,-3,-3,-2,11,0.0038305903984510482
No,-1,1,15-30 days,-1,0,0,1,-1,0,0,No,Yes,-1,-1,0,11,0.0038305903984510482
No,1,-1,31-60 days,1,0,-1,1,-1,1,1,No,Not sure,2,0,2,11,0.0038305903984510482
No,-1,1,31-60 days,0,0,0,-1,1,-1,-1,No,Yes,-2,0,-2,11,0.0038305903984510482
No,-1,-1,Go out Every day,1,-1,0,-1,1,1,-1,No,Not sure,0,-2,0,11,0.0038305903984510482
No,1,-1,31-60 days,1,0,0,-1,-1,-1,1,No,Not sure,-1,1,-2,11,0.0038305903984510482
No,1,-1,31-60 days,1,0,0,-1,-1,1,1,No,Not sure,1,1,0,11,0.0038305903984510482
No,-1,1,15-30 days,-1,0,0,-1,1,0,0,No,Yes,-1,-1,0,11,0.0038305903984510482
No,-1,-1,Go out Every day,1,-1,0,-1,1,1,0,No,Not sure,1,-2,1,11,0.0038305903984510482
No,1,-1,31-60 days,1,0,0,-1,1,-1,0,No,Not sure,0,1,-1,11,0.0038305903984510482
No,-1,1,15-30 days,-1,0,0,-1,-1,0,1,No,Yes,-2,-1,-1,11,0.0038305903984510482
No,-1,1,More than 2 months,0,-1,0,-1,-1,0,-1,No,Yes,-4,-1,-3,11,0.0038305903984510482
No,-1,1,31-60 days,0,0,0,-1,1,1,1,No,Yes,2,0,2,11,0.0038305903984510482
No,-1,-1,More than 2 months,1,1,-1,0,-1,0,0,No,Not sure,0,-1,-1,11,0.0038305903984510482
No,1,-1,1-14 days,-1,0,1,-1,-1,1,1,No,Not sure,0,0,0,11,0.0038305903984510482
No,1,-1,31-60 days,1,0,0,0,-1,0,0,No,Not sure,0,1,-1,11,0.0038305903984510482
No,-1,1,15-30 days,-1,0,0,-1,1,-1,-1,No,Yes,-3,-1,-2,11,0.0038305903984510482
No,1,-1,31-60 days,1,0,0,0,1,-1,0,No,Not sure,1,1,0,11,0.0038305903984510482
No,-1,-1,Go out Every day,1,-1,0,0,-1,0,0,No,Not sure,-1,-2,-1,11,0.0038305903984510482
No,1,-1,31-60 days,0,1,-1,0,1,1,1,No,Not sure,3,0,3,11,0.0038305903984510482
No,-1,-1,15-30 days,0,-1,1,0,1,1,1,No,Not sure,3,-2,3,11,0.0038305903984510482
No,1,-1,31-60 days,0,1,-1,0,-1,-1,1,No,Not sure,-1,0,-1,11,0.0038305903984510482
No,1,-1,31-60 days,0,1,-1,-1,1,0,-1,No,Not sure,-1,0,-1,11,0.0038305903984510482
No,-1,-1,1-14 days,0,0,0,0,-1,-1,0,No,Not sure,-2,-2,-2,11,0.0038305903984510482
No,-1,1,15-30 days,0,-1,-1,-1,-1,1,-1,No,Yes,-4,-2,-2,11,0.0038305903984510482
No,1,-1,31-60 days,-1,1,0,-1,-1,0,1,No,Not sure,-1,0,-1,11,0.0038305903984510482
No,-1,1,31-60 days,0,-1,1,-1,1,0,-1,No,Yes,-1,0,-1,11,0.0038305903984510482
No,-1,-1,Go out Every day,0,1,0,-1,-1,0,0,No,Not sure,-1,-1,-2,11,0.0038305903984510482
No,-1,1,15-30 days,-1,1,1,1,-1,-1,-1,No,Yes,-1,1,-2,11,0.0038305903984510482
No,1,-1,31-60 days,-1,1,0,-1,1,0,1,No,Not sure,1,0,1,11,0.0038305903984510482
No,-1,1,15-30 days,-1,1,1,0,1,1,0,No,Yes,3,1,2,11,0.0038305903984510482
No,1,-1,31-60 days,-1,1,0,0,-1,1,1,No,Not sure,1,0,1,11,0.0038305903984510482
No,-1,-1,Go out Every day,0,1,0,-1,1,-1,-1,No,Not sure,-1,-1,-2,11,0.0038305903984510482
No,1,-1,31-60 days,-1,1,0,0,1,-1,1,No,Not sure,1,0,1,11,0.0038305903984510482
No,-1,-1,Go out Every day,0,1,0,1,-1,0,-1,No,Not sure,0,-1,-1,11,0.0038305903984510482
No,1,-1,31-60 days,-1,1,0,1,1,1,0,No,Not sure,3,0,3,11,0.0038305903984510482
No,-1,1,More than 2 months,0,0,1,1,-1,0,1,No,Yes,2,1,1,11,0.0038305903984510482
No,1,-1,31-60 days,-1,1,1,0,-1,-1,0,No,Not sure,-1,1,-2,11,0.0038305903984510482
No,-1,1,15-30 days,-1,1,1,0,1,-1,0,No,Yes,1,1,0,11,0.0038305903984510482
No,-1,-1,Go out Every day,0,1,0,1,1,-1,-1,No,Not sure,1,-1,0,11,0.0038305903984510482
No,-1,1,More than 2 months,0,0,1,1,-1,-1,0,No,Yes,0,1,-1,11,0.0038305903984510482
No,1,-1,31-60 days,-1,1,1,0,-1,1,-1,No,Not sure,0,1,-1,11,0.0038305903984510482
No,-1,-1,Go out Every day,0,1,0,-1,-1,-1,1,No,Not sure,-1,-1,-2,11,0.0038305903984510482
No,-1,1,31-60 days,0,-1,1,-1,-1,-1,0,No,Yes,-3,0,-3,11,0.0038305903984510482
No,1,-1,1-14 days,-1,0,0,1,-1,1,0,No,Not sure,0,-1,1,11,0.0038305903984510482
No,1,-1,1-14 days,-1,0,1,0,-1,-1,0,No,Not sure,-2,0,-2,11,0.0038305903984510482
No,-1,-1,Go out Every day,0,1,-1,-1,1,0,-1,No,Not sure,-1,-2,-1,11,0.0038305903984510482
No,-1,1,More than 2 months,0,1,-1,0,1,0,1,No,Yes,2,0,2,11,0.0038305903984510482
No,1,-1,31-60 days,-1,0,0,1,-1,1,0,No,Not sure,0,-1,1,11,0.0038305903984510482
No,-1,-1,31-60 days,-1,-1,1,1,-1,-1,-1,No,Not sure,-3,-3,-2,11,0.0038305903984510482
No,1,-1,31-60 days,-1,0,1,-1,-1,1,0,No,Not sure,-1,0,-1,11,0.0038305903984510482
No,-1,-1,Go out Every day,0,1,-1,0,-1,1,-1,No,Not sure,-1,-2,-1,11,0.0038305903984510482
No,1,-1,31-60 days,-1,0,1,0,1,0,-1,No,Not sure,0,0,0,11,0.0038305903984510482
No,1,-1,31-60 days,-1,0,1,0,1,1,1,No,Not sure,3,0,3,11,0.0038305903984510482
No,-1,1,15-30 days,0,-1,-1,-1,1,1,0,No,Yes,-1,-2,1,11,0.0038305903984510482
No,1,-1,31-60 days,-1,1,0,-1,-1,0,0,No,Not sure,-2,0,-2,11,0.0038305903984510482
