occupation,family_history,treatment,days_indoors,growing_stress,mental_health_history,mood_swings,coping_struggles,work_interest,social_weakness,percentage
Housewife,-1,-1,15-30 days,1,-1,0,-1,0,1,0.09088946309052033
Housewife,-1,-1,15-30 days,0,1,0,-1,1,0,0.09088946309052033
Housewife,-1,-1,15-30 days,0,1,-1,-1,-1,-1,0.09088946309052033
Housewife,-1,-1,15-30 days,0,0,1,-1,1,1,0.09088946309052033
Housewife,-1,-1,15-30 days,0,0,1,-1,-1,0,0.09088946309052033
Housewife,-1,-1,15-30 days,0,0,0,-1,0,1,0.09088946309052033
Housewife,-1,-1,15-30 days,0,0,-1,-1,1,0,0.09088946309052033
Housewife,-1,-1,15-30 days,0,0,-1,-1,0,0,0.09088946309052033
Housewife,-1,-1,15-30 days,0,-1,-1,1,0,1,0.09088946309052033
Corporate,-1,-1,1-14 days,1,0,1,1,-1,0,0.09088946309052033
Corporate,-1,-1,1-14 days,1,0,-1,1,-1,0,0.09088946309052033
Corporate,-1,-1,1-14 days,1,-1,0,-1,1,-1,0.09088946309052033
Corporate,-1,-1,1-14 days,1,-1,-1,-1,0,-1,0.09088946309052033
Others,-1,-1,1-14 days,0,1,-1,-1,1,0,0.09088946309052033
Others,-1,-1,More than 2 months,1,0,-1,1,1,-1,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,0,0,-1,-1,-1,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,0,-1,1,-1,1,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,-1,1,1,1,1,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,-1,1,1,-1,0,0.09088946309052033
Corporate,-1,-1,1-14 days,-1,-1,-1,1,1,1,0.09088946309052033
Student,-1,-1,Go out Every day,0,1,1,-1,0,0,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,-1,-1,-1,-1,1,0.09088946309052033
Corporate,-1,-1,1-14 days,-1,-1,0,1,1,0,0.09088946309052033
Corporate,-1,-1,1-14 days,-1,0,-1,-1,-1,0,0.09088946309052033
Corporate,-1,-1,1-14 days,-1,1,0,-1,-1,0,0.09088946309052033
Corporate,-1,-1,1-14 days,-1,1,0,1,1,1,0.09088946309052033
Housewife,-1,-1,1-14 days,-1,0,0,1,-1,-1,0.09088946309052033
Student,-1,-1,More than 2 months,1,1,0,1,1,0,0.09088946309052033
